Iterator T GF Best_GF
472 9.54065 42497 42497
473 9.54065 42497 42497
474 9.54065 42497 42497
475 9.54065 42497 42497
476 9.54065 42497 42497
477 9.54065 42497 42497
478 9.54065 42497 42497
479 9.54065 42497 42497
480 9.54065 42497 42497
481 9.53111 42497 42497
482 9.53111 42497 42497
483 9.53111 42497 42497
484 9.53111 42497 42497
485 9.53111 42497 42497
486 9.53111 42497 42497
487 9.53111 42497 42497
488 9.53111 42497 42497
489 9.53111 42497 42497
490 9.53111 42497 42497
491 9.52158 42497 42497
492 9.52158 42497 42497
493 9.52158 42497 42497
494 9.52158 42497 42497
495 9.52158 42497 42497
496 9.52158 42497 42497
497 9.52158 42497 42497
498 9.52158 42497 42497
499 9.52158 42497 42497
500 9.52158 42497 42497
501 9.51206 42497 42497
502 9.51206 42497 42497
503 9.51206 42497 42497
504 9.51206 42497 42497
505 9.51206 42497 42497
506 9.51206 42497 42497
507 9.51206 42497 42497
508 9.51206 42497 42497
509 9.51206 42497 42497
510 9.51206 42497 42497
511 9.50254 42497 42497
512 9.50254 42497 42497
513 9.50254 42497 42497
514 9.50254 42497 42497
515 9.50254 34827 34827
516 9.50254 34827 34827
517 9.50254 34827 34827
518 9.50254 34827 34827
519 9.50254 34827 34827
520 9.50254 34827 34827
521 9.49304 34827 34827
522 9.49304 34827 34827
523 9.49304 34827 34827
524 9.49304 34827 34827
525 9.49304 34827 34827
526 9.49304 34827 34827
527 9.49304 34827 34827
528 9.49304 34827 34827
529 9.49304 34827 34827
530 9.49304 34827 34827
531 9.48355 34827 34827
532 9.48355 34827 34827
533 9.48355 34827 34827
534 9.48355 34827 34827
535 9.48355 34827 34827
536 9.48355 34827 34827
537 9.48355 34827 34827
538 9.48355 34827 34827
539 9.48355 34827 34827
540 9.48355 34827 34827
541 9.47407 34827 34827
542 9.47407 34827 34827
543 9.47407 34827 34827
544 9.47407 34827 34827
545 9.47407 34827 34827
546 9.47407 34827 34827
547 9.47407 34827 34827
548 9.47407 34827 34827
549 9.47407 34827 34827
550 9.47407 34827 34827
551 9.46459 34827 34827
552 9.46459 34827 34827
553 9.46459 34827 34827
554 9.46459 34827 34827
555 9.46459 34827 34827
556 9.46459 34827 34827
557 9.46459 34827 34827
558 9.46459 34827 34827
559 9.46459 34827 34827
560 9.46459 34827 34827
561 9.45513 34827 34827
562 9.45513 34827 34827
563 9.45513 34827 34827
564 9.45513 34827 34827
565 9.45513 34827 34827
566 9.45513 34827 34827
567 9.45513 34827 34827
568 9.45513 34827 34827
569 9.45513 34827 34827
570 9.45513 34827 34827
571 9.44567 34827 34827
572 9.44567 34827 34827
573 9.44567 34827 34827
574 9.44567 34827 34827
575 9.44567 34827 34827
576 9.44567 34827 34827
577 9.44567 34827 34827
578 9.44567 34827 34827
579 9.44567 34827 34827
580 9.44567 34827 34827
581 9.43623 34827 34827
582 9.43623 34827 34827
583 9.43623 34827 34827
584 9.43623 34827 34827
585 9.43623 34827 34827
586 9.43623 34827 34827
587 9.43623 34827 34827
588 9.43623 34827 34827
589 9.43623 34827 34827
590 9.43623 34827 34827
591 9.42679 34827 34827
592 9.42679 34827 34827
593 9.42679 34827 34827
594 9.42679 34827 34827
595 9.42679 34827 34827
596 9.42679 34827 34827
597 9.42679 34827 34827
